age,year,nodes,survival_status
0,40, United-States, <=50K
0,13, United-States, <=50K
0,40, United-States, <=50K
0,40, United-States, <=50K
0,40, Cuba, <=50K
0,40, United-States, <=50K
0,16, Jamaica, <=50K
0,45, United-States, >50K
0,50, United-States, >50K
0,40, United-States, >50K
0,80, United-States, >50K
0,40, India, >50K
0,30, United-States, <=50K
0,50, United-States, <=50K
0,40, ?, >50K
0,45, Mexico, <=50K
0,35, United-States, <=50K
0,40, United-States, <=50K
0,50, United-States, <=50K
0,45, United-States, >50K
0,60, United-States, >50K
0,20, United-States, <=50K
0,40, United-States, <=50K
2042,40, United-States, <=50K
0,40, United-States, <=50K
0,40, United-States, >50K
0,40, United-States, <=50K
0,60, South, >50K
0,80, United-States, <=50K
0,40, United-States, <=50K
0,52, United-States, <=50K
0,44, United-States, <=50K
1408,40, United-States, <=50K
0,40, United-States, <=50K
0,15, United-States, <=50K
0,40, Puerto-Rico, <=50K
0,40, United-States, <=50K
0,25, United-States, <=50K
0,38, ?, >50K
0,40, United-States, <=50K
0,43, United-States, <=50K
0,40, United-States, <=50K
0,50, United-States, <=50K
0,40, United-States, <=50K
0,35, United-States, <=50K
0,40, United-States, >50K
0,38, United-States, <=50K
0,40, United-States, <=50K
0,40, United-States, <=50K
0,43, United-States, <=50K
0,40, United-States, <=50K
0,30, ?, <=50K
1902,60, Honduras, >50K
0,55, United-States, >50K
0,60, United-States, <=50K
0,40, United-States, >50K
0,40, Mexico, <=50K
0,40, Puerto-Rico, <=50K
0,48, United-States, <=50K
0,40, United-States, <=50K
0,40, United-States, <=50K
0,40, ?, <=50K
0,40, United-States, <=50K
0,45, United-States, >50K
0,58, United-States, <=50K
0,40, United-States, <=50K
0,40, United-States, <=50K
0,40, United-States, >50K
0,50, United-States, >50K
0,40, United-States, <=50K
0,32, United-States, <=50K
0,40, United-States, <=50K
0,70, United-States, >50K
0,40, United-States, <=50K
0,20, United-States, <=50K
0,40, Mexico, <=50K
0,40, United-States, <=50K
0,2, United-States, <=50K
0,22, United-States, <=50K
0,40, United-States, <=50K
0,30, United-States, <=50K
0,40, Cuba, <=50K
0,40, United-States, <=50K
0,48, United-States, <=50K
0,40, United-States, >50K
0,35, United-States, <=50K
0,40, United-States, >50K
0,50, United-States, <=50K
0,40, United-States, <=50K
0,50, United-States, >50K
0,40, United-States, <=50K
0,40, United-States, <=50K
0,25, United-States, <=50K
1573,35, ?, <=50K
0,40, United-States, >50K
0,50, United-States, <=50K
1902,60, United-States, >50K
0,48, United-States, >50K
0,40, England, <=50K
0,40, United-States, <=50K
0,40, United-States, >50K
0,60, United-States, >50K
0,50, United-States, <=50K
0,40, United-States, <=50K
0,40, United-States, <=50K
0,40, United-States, >50K
0,32, United-States, <=50K
0,40, United-States, <=50K
0,40, United-States, <=50K
0,40, United-States, <=50K
0,40, United-States, <=50K
0,40, United-States, >50K
1887,50, Canada, >50K
0,25, United-States, <=50K
0,40, United-States, <=50K
0,50, United-States, <=50K
0,50, United-States, <=50K
0,40, United-States, >50K
0,56, United-States, <=50K
0,41, United-States, <=50K
0,40, United-States, <=50K
0,60, United-States, <=50K
0,40, Germany, <=50K
0,50, United-States, >50K
0,35, United-States, <=50K
0,40, United-States, >50K
1719,28, United-States, <=50K
0,40, United-States, >50K
0,40, United-States, <=50K
0,40, United-States, <=50K
0,60, United-States, <=50K
1762,40, United-States, <=50K
0,35, United-States, <=50K
0,50, United-States, <=50K
0,36, United-States, <=50K
0,40, Iran, >50K
0,60, United-States, <=50K
0,35, United-States, <=50K
0,20, United-States, <=50K
0,40, United-States, >50K
0,40, United-States, <=50K
0,40, United-States, <=50K
0,30, Mexico, <=50K
1564,40, United-States, >50K
0,40, United-States, <=50K
0,30, United-States, <=50K
0,24, United-States, <=50K
0,24, United-States, <=50K
2179,40, United-States, <=50K
0,40, United-States, <=50K
0,38, Mexico, <=50K
0,40, United-States, <=50K
0,40, Philippines, <=50K
0,35, United-States, <=50K
0,45, United-States, >50K
0,46, United-States, <=50K
0,40, United-States, <=50K
1816,2, United-States, <=50K
0,60, United-States, <=50K
0,50, United-States, <=50K
0,20, United-States, <=50K
0,40, United-States, <=50K
0,40, United-States, <=50K
0,40, England, <=50K
0,40, United-States, >50K
0,40, Mexico, <=50K
0,42, United-States, <=50K
0,40, United-States, <=50K
0,16, United-States, <=50K
0,20, United-States, <=50K
1980,40, United-States, <=50K
0,40, United-States, <=50K
1977,40, United-States, >50K
0,50, United-States, <=50K
0,40, United-States, >50K
0,25, United-States, <=50K
0,40, United-States, <=50K
0,40, United-States, <=50K
0,12, United-States, <=50K
0,65, United-States, <=50K
0,38, United-States, >50K
0,40, United-States, <=50K
0,45, United-States, <=50K
0,40, Mexico, >50K
0,42, United-States, >50K
0,40, United-States, <=50K
0,40, United-States, <=50K
0,50, United-States, <=50K
0,50, United-States, <=50K
0,1, United-States, >50K
0,28, United-States, <=50K
0,40, United-States, <=50K
0,40, United-States, <=50K
0,45, United-States, <=50K
0,24, United-States, <=50K
0,40, Mexico, <=50K
0,40, United-States, <=50K
0,55, United-States, >50K
0,40, United-States, >50K
0,40, United-States, <=50K
1876,40, United-States, <=50K
0,40, Italy, <=50K
0,50, United-States, >50K
1340,40, United-States, <=50K
0,35, United-States, <=50K
0,40, United-States, <=50K
0,36, United-States, >50K
0,60, United-States, <=50K
0,35, United-States, >50K
0,12, United-States, <=50K
0,40, United-States, <=50K
0,40, United-States, >50K
0,40, United-States, <=50K
0,40, United-States, <=50K
0,40, United-States, >50K
0,60, United-States, >50K
0,40, United-States, <=50K
0,50, Poland, <=50K
0,55, United-States, <=50K
0,40, United-States, <=50K
0,40, United-States, <=50K
0,40, United-States, <=50K
2206,40, United-States, <=50K
0,20, United-States, <=50K
0,35, United-States, <=50K
0,40, United-States, <=50K
0,10, United-States, <=50K
0,50, United-States, <=50K
0,20, Columbia, <=50K
0,40, United-States, <=50K
0,40, United-States, <=50K
0,38, United-States, <=50K
0,42, United-States, <=50K
0,40, United-States, <=50K
0,55, United-States, >50K
0,40, United-States, <=50K
0,38, United-States, <=50K
0,50, Iran, >50K
0,70, United-States, >50K
0,40, United-States, <=50K
0,40, United-States, >50K
0,20, United-States, <=50K
0,50, United-States, <=50K
0,20, United-States, <=50K
1741,40, United-States, <=50K
0,35, ?, <=50K
0,45, United-States, >50K
0,34, United-States, <=50K
1977,60, United-States, >50K
0,40, ?, <=50K
0,40, United-States, >50K
0,40, United-States, <=50K
0,30, United-States, <=50K
0,40, United-States, <=50K
0,20, United-States, <=50K
0,40, Cambodia, >50K
0,40, United-States, <=50K
0,30, United-States, <=50K
0,45, United-States, <=50K
0,40, United-States, <=50K
0,40, United-States, <=50K
0,60, United-States, <=50K
0,12, United-States, <=50K
0,40, United-States, <=50K
0,40, United-States, <=50K
0,75, Thailand, >50K
0,24, Canada, <=50K
0,40, United-States, >50K
0,45, United-States, <=50K
0,40, United-States, >50K
0,40, United-States, >50K
0,24, United-States, <=50K
0,98, United-States, <=50K
0,35, United-States, <=50K
0,40, United-States, <=50K
0,40, United-States, <=50K
0,40, United-States, >50K
0,40, United-States, <=50K
0,40, United-States, <=50K
0,48, United-States, >50K
0,15, Germany, <=50K
0,40, United-States, >50K
0,45, United-States, <=50K
0,42, United-States, <=50K
0,40, United-States, <=50K
0,40, United-States, >50K
0,60, United-States, >50K
0,45, United-States, <=50K
0,40, United-States, <=50K
0,40, Ecuador, <=50K
0,45, United-States, <=50K
0,40, United-States, <=50K
0,56, United-States, <=50K
0,45, United-States, <=50K
0,40, United-States, <=50K
0,16, United-States, <=50K
0,60, United-States, <=50K
0,40, ?, <=50K
0,40, United-States, <=50K
0,80, United-States, <=50K
0,40, United-States, >50K
0,25, United-States, <=50K
0,45, United-States, >50K
0,40, United-States, >50K
0,40, Laos, <=50K
0,40, United-States, <=50K
0,45, United-States, <=50K
0,33, United-States, <=50K
0,40, United-States, >50K
0,54, United-States, >50K
0,40, United-States, <=50K
0,35, Taiwan, >50K
0,25, United-States, <=50K
0,40, United-States, >50K
0,15, United-States, <=50K
0,40, United-States, <=50K
0,40, United-States, <=50K
0,40, Mexico, <=50K
0,40, United-States, <=50K
0,24, United-States, <=50K
0,40, United-States, <=50K
1485,50, United-States, <=50K
0,45, United-States, <=50K
0,40, United-States, <=50K
0,10, United-States, <=50K
0,45, United-States, <=50K
0,15, United-States, <=50K
1887,50, United-States, >50K
0,40, United-States, <=50K
0,55, United-States, <=50K
0,45, United-States, <=50K
0,40, United-States, <=50K
0,40, United-States, <=50K
0,40, United-States, <=50K
0,40, United-States, <=50K
0,48, Mexico, <=50K
0,40, United-States, <=50K
0,60, United-States, <=50K
0,30, Haiti, <=50K
0,40, United-States, <=50K
0,40, United-States, <=50K
0,40, United-States, >50K
0,40, United-States, >50K
0,20, United-States, <=50K
0,40, United-States, <=50K
0,42, United-States, <=50K
0,8, United-States, <=50K
0,40, United-States, <=50K
0,25, Iran, <=50K
0,25, United-States, <=50K
0,40, United-States, >50K
0,40, United-States, <=50K
0,40, United-States, >50K
0,30, United-States, <=50K
0,40, United-States, >50K
0,40, United-States, >50K
0,40, United-States, <=50K
0,40, United-States, >50K
0,35, United-States, <=50K
0,40, Portugal, <=50K
0,24, United-States, <=50K
0,40, United-States, >50K
0,45, United-States, <=50K
1564,45, United-States, >50K
0,55, United-States, <=50K
0,40, United-States, <=50K
0,45, United-States, <=50K
0,15, United-States, <=50K
0,45, United-States, >50K
0,40, United-States, <=50K
0,15, United-States, <=50K
0,10, United-States, <=50K
0,38, United-States, >50K
0,40, United-States, <=50K
0,40, United-States, <=50K
0,10, United-States, <=50K
0,40, United-States, <=50K
0,40, United-States, <=50K
0,30, United-States, <=50K
0,50, United-States, <=50K
0,40, United-States, <=50K
2339,45, United-States, <=50K
0,40, United-States, <=50K
0,40, United-States, <=50K
0,40, United-States, <=50K
0,25, United-States, <=50K
0,40, United-States, <=50K
2415,6, United-States, >50K
0,16, United-States, <=50K
0,40, United-States, <=50K
0,40, United-States, >50K
0,50, United-States, <=50K
0,40, United-States, <=50K
0,45, ?, >50K
0,35, United-States, <=50K
0,40, United-States, <=50K
0,40, United-States, <=50K
0,35, United-States, <=50K
0,55, United-States, >50K
0,50, United-States, >50K
0,40, United-States, <=50K
0,40, United-States, <=50K
0,40, United-States, >50K
0,64, United-States, <=50K
2179,40, Puerto-Rico, <=50K
1977,65, United-States, >50K
0,40, United-States, <=50K
0,25, United-States, <=50K
1887,40, United-States, >50K
0,50, United-States, <=50K
0,24, United-States, <=50K
0,40, United-States, <=50K
0,40, United-States, <=50K
0,60, United-States, >50K
0,40, United-States, <=50K
0,50, United-States, >50K
0,40, Mexico, <=50K
0,19, United-States, <=50K
0,40, United-States, <=50K
0,40, United-States, <=50K
0,30, United-States, <=50K
0,18, United-States, <=50K
0,40, United-States, >50K
0,40, United-States, <=50K
0,35, United-States, <=50K
0,60, United-States, <=50K
1408,40, United-States, <=50K
0,72, Dominican-Republic, <=50K
0,40, United-States, >50K
0,40, United-States, <=50K
0,24, United-States, <=50K
0,40, United-States, <=50K
0,40, United-States, <=50K
0,25, United-States, >50K
1980,40, Philippines, <=50K
0,50, United-States, >50K
0,60, United-States, <=50K
0,40, United-States, <=50K
0,40, United-States, <=50K
0,40, United-States, <=50K
0,40, United-States, <=50K
0,28, United-States, <=50K
0,40, United-States, <=50K
0,40, United-States, >50K
0,40, Mexico, <=50K
0,35, United-States, <=50K
0,40, United-States, <=50K
0,40, United-States, <=50K
0,40, United-States, <=50K
0,5, United-States, <=50K
0,40, United-States, <=50K
0,55, United-States, >50K
0,40, United-States, >50K
0,40, ?, >50K
0,40, United-States, >50K
0,40, United-States, >50K
0,40, United-States, <=50K
0,50, United-States, <=50K
0,60, United-States, <=50K
0,40, United-States, <=50K
0,40, United-States, <=50K
0,40, United-States, <=50K
0,50, United-States, <=50K
0,40, United-States, <=50K
0,20, United-States, <=50K
0,60, United-States, <=50K
0,40, United-States, <=50K
0,40, United-States, <=50K
1977,45, United-States, >50K
0,16, United-States, >50K
0,40, United-States, >50K
0,40, United-States, <=50K
0,40, United-States, <=50K
0,60, United-States, <=50K
0,24, United-States, <=50K
0,40, United-States, <=50K
0,6, United-States, <=50K
0,30, United-States, <=50K
0,40, United-States, <=50K
0,35, United-States, <=50K
0,45, Portugal, <=50K
0,20, United-States, <=50K
0,20, United-States, <=50K
0,40, United-States, <=50K
0,40, United-States, <=50K
0,20, United-States, <=50K
0,35, United-States, <=50K
0,45, United-States, <=50K
0,40, United-States, <=50K
0,60, United-States, >50K
0,35, United-States, <=50K
0,40, United-States, <=50K
0,60, United-States, <=50K
0,25, United-States, <=50K
0,20, United-States, <=50K
0,36, United-States, <=50K
0,40, United-States, <=50K
0,40, El-Salvador, <=50K
0,35, United-States, <=50K
0,20, United-States, <=50K
0,40, Poland, <=50K
0,40, United-States, <=50K
0,40, United-States, <=50K
0,42, France, <=50K
0,40, United-States, <=50K
0,40, United-States, <=50K
0,8, United-States, <=50K
0,40, United-States, <=50K
0,40, United-States, <=50K
0,40, United-States, <=50K
1380,42, United-States, <=50K
0,30, United-States, <=50K
0,45, United-States, <=50K
0,50, United-States, >50K
0,45, United-States, <=50K
0,38, United-States, <=50K
0,20, United-States, <=50K
0,24, United-States, <=50K
0,35, United-States, <=50K
0,50, United-States, >50K
0,80, United-States, >50K
0,50, United-States, >50K
0,50, United-States, <=50K
0,45, United-States, >50K
0,58, United-States, >50K
0,40, United-States, <=50K
0,40, United-States, >50K
0,9, United-States, <=50K
0,50, United-States, <=50K
0,40, United-States, <=50K
0,46, Puerto-Rico, <=50K
0,40, United-States, <=50K
0,40, United-States, <=50K
0,50, United-States, >50K
0,48, United-States, >50K
0,50, United-States, <=50K
0,30, United-States, <=50K
0,40, United-States, <=50K
0,45, United-States, <=50K
0,40, United-States, <=50K
0,40, United-States, <=50K
0,40, United-States, <=50K
0,40, United-States, <=50K
0,40, United-States, <=50K
0,50, United-States, <=50K
0,45, United-States, <=50K
0,8, United-States, <=50K
0,40, United-States, <=50K
0,36, United-States, <=50K
0,40, United-States, <=50K
0,50, United-States, <=50K
0,40, United-States, <=50K
0,40, United-States, <=50K
0,40, United-States, <=50K
0,40, United-States, >50K
0,40, United-States, <=50K
0,40, United-States, <=50K
0,20, ?, <=50K
0,32, United-States, <=50K
0,40, Mexico, <=50K
0,55, United-States, <=50K
0,35, United-States, >50K
0,50, United-States, >50K
0,40, United-States, <=50K
0,60, United-States, >50K
0,48, United-States, <=50K
0,45, United-States, <=50K
0,40, Mexico, <=50K
0,35, United-States, <=50K
0,42, United-States, <=50K
0,40, United-States, <=50K
0,40, United-States, <=50K
0,12, United-States, <=50K
1977,40, United-States, >50K
0,70, United-States, <=50K
0,40, United-States, >50K
0,25, United-States, <=50K
0,35, United-States, <=50K
0,40, United-States, <=50K
0,45, United-States, <=50K
0,30, United-States, >50K
0,40, United-States, >50K
0,40, United-States, <=50K
0,40, United-States, <=50K
0,40, United-States, <=50K
0,24, United-States, <=50K
0,60, United-States, <=50K
0,40, United-States, <=50K
1887,47, United-States, >50K
0,80, United-States, <=50K
0,40, United-States, <=50K
0,40, United-States, <=50K
0,48, United-States, >50K
0,40, Canada, >50K
0,40, United-States, <=50K
0,40, United-States, <=50K
0,25, United-States, <=50K
1902,50, United-States, >50K
0,40, United-States, <=50K
0,45, United-States, <=50K
0,40, United-States, <=50K
0,28, United-States, <=50K
0,40, United-States, <=50K
0,40, United-States, <=50K
0,40, United-States, <=50K
0,37, United-States, <=50K
0,40, United-States, >50K
0,40, United-States, <=50K
0,40, United-States, <=50K
0,21, United-States, <=50K
0,60, United-States, <=50K
0,40, United-States, <=50K
0,50, United-States, <=50K
0,40, United-States, <=50K
0,20, United-States, <=50K
0,60, United-States, <=50K
0,45, United-States, <=50K
0,32, United-States, <=50K
0,55, United-States, <=50K
0,45, United-States, >50K
0,20, United-States, <=50K
0,20, United-States, <=50K
0,24, United-States, <=50K
0,55, United-States, <=50K
0,40, El-Salvador, <=50K
0,60, United-States, <=50K
0,45, United-States, >50K
0,64, United-States, <=50K
0,40, United-States, >50K
0,26, United-States, >50K
0,40, United-States, <=50K
0,40, United-States, <=50K
0,60, United-States, >50K
0,40, United-States, >50K
0,60, United-States, <=50K
0,14, United-States, <=50K
0,40, United-States, <=50K
0,60, United-States, >50K
0,50, Cuba, <=50K
0,60, United-States, >50K
0,55, United-States, <=50K
0,40, United-States, <=50K
0,40, United-States, <=50K
0,50, United-States, >50K
0,45, United-States, <=50K
0,40, United-States, >50K
0,40, United-States, <=50K
0,15, United-States, <=50K
0,50, United-States, <=50K
0,40, United-States, >50K
0,20, United-States, <=50K
0,50, United-States, <=50K
0,40, Taiwan, >50K
0,45, United-States, <=50K
0,32, United-States, <=50K
0,40, Philippines, <=50K
0,15, United-States, <=50K
0,45, United-States, <=50K
0,35, United-States, <=50K
0,40, United-States, >50K
0,40, United-States, >50K
0,60, United-States, <=50K
0,40, United-States, <=50K
0,38, United-States, <=50K
0,25, United-States, <=50K
0,40, United-States, >50K
0,40, United-States, <=50K
0,40, United-States, >50K
1762,40, South, <=50K
1721,40, United-States, <=50K
0,40, United-States, <=50K
0,20, United-States, <=50K
0,10, United-States, <=50K
0,40, United-States, >50K
0,50, United-States, >50K
0,40, United-States, <=50K
0,16, United-States, <=50K
0,40, Mexico, <=50K
0,45, United-States, <=50K
0,50, United-States, <=50K
0,48, United-States, <=50K
0,40, Portugal, >50K
0,40, United-States, >50K
0,40, United-States, <=50K
0,5, United-States, <=50K
0,40, United-States, <=50K
0,4, United-States, <=50K
0,55, United-States, <=50K
0,35, Dominican-Republic, <=50K
0,30, United-States, <=50K
0,40, United-States, <=50K
0,45, United-States, <=50K
0,50, United-States, <=50K
0,20, United-States, <=50K
0,20, United-States, <=50K
0,45, United-States, <=50K
0,60, United-States, >50K
1902,40, United-States, >50K
